Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
483	7	5.391470049210204e+17	1514891502.0	0.0	0.0	0.0	0.0			The Real 'Wolf of Wall Street'? http://t.co/yPMjq3vUwA #wolfofwallstreet #wallstreet #vice	0.1164	0.8584	0.0253
484	8	5.391433738319504e+17	452217843.0	0.0	0.0	0.0	0.0			#Wolf󾇐ofwallstreet  Sankar Raj this ones for you. Iam glad that we went to watch this epic tale of #jordanbelfort... http://t.co/rwXcshxNgk	0.0019	0.0302	0.968
485	9	5.3914093255448576e+17	452217843.0	0.0	0.0	0.0	0.0			#Wolf󾇐ofWallstreet# Sankar Raj this ones for you....Iam glad that we went together to watch this epic tale of... http://t.co/A62Elbe3RE	0.0015	0.0209	0.9777
486	10	5.391300879759647e+17	79747741.0	1.0	0.0	0.0	0.0			@MargotRobbie you need one if our #ChristmasSweaters DM us #WolfofWallstreet 🎅🎄 http://t.co/NB4ognwDV0	0.0043	0.6534	0.3423
487	11	5.3912822712684544e+17	2790166614.0	0.0	0.0	0.0	0.0			If @nfl teams were publicly traded stocks, the @Jaguars would be Aerotyne International #WolfofWallstreet	0.0437	0.8788	0.0776
488	12	5.391134655880929e+17	348898843.0	0.0	0.0	0.0	0.0			Netflix is going ham next month!  #anchorman2 #hauntedhouse2 #wolfofwallstreet @netflix	0.0082	0.2207	0.771
489	13	5.391088654520279e+17	2881808620.0	0.0	0.0	0.0	0.0			"List of what's coming to &amp; leaving #Netflix in December. #AnchorMan2 #AmericanHorrorStoryFreakShow #WolfOfWallStreet

http://t.co/X5n3MLSQYB"	0.0408	0.911	0.0482
490	14	5.390965140865802e+17	325030134.0	0.0	0.0	1.0	0.0			bought these awesome movies for 16$ I saved 26$ eeeeks. #WolfOfWallStreet $4 #Ted $6 &amp; #TheHeat $6… http://t.co/ystyM51LKR	0.0034	0.0473	0.9494
491	15	5.390809568719708e+17	273968758.0	0.0	0.0	0.0	0.0			We're not gonna be friends #WolfofWallstreet	0.8147	0.171	0.0144
492	16	5.3908040623917466e+17	898611002.0	1.0	0.0	0.0	0.0			I made $49 million which really pissed me off cause it was 3 shy of a million a week😂 #wolfofwallstreet	0.9072	0.0832	0.0096
493	17	5.3905443779352986e+17	45158300.0	0.0	0.0	0.0	0.0			Finally watched #WolfofWallstreet last night, Jay loved it. But seriously Martin Scorsese? Another 3 hour movie?! #aintnobodygottimeforthat	0.0553	0.1696	0.775
494	18	5.390357994642145e+17	840396516.0	0.0	0.0	0.0	0.0			£30 big ones for this in HMV. Bit optimistic i think. #Overpriced #HMV #WolfofWallstreet #Steelbook http://t.co/VQ6p3STKHU	0.1366	0.5608	0.3026
